age_band,n_windows,n_patients,bce,bce_ci_lo,bce_ci_hi,brier,brier_ci_lo,brier_ci_hi,recall@5,recall@5_ci_lo,recall@5_ci_hi,recall@20,recall@20_ci_lo,recall@20_ci_hi,precision@5,precision@5_ci_lo,precision@5_ci_hi
<1,3706,264,0.0004970717367891467,0.0004483893881532298,0.0005519935853071799,8.801687922718421e-05,7.891659869890168e-05,9.717162841770745e-05,0.3502085500959035,0.31696371198611,0.3852266580145928,0.5519878946801567,0.520214735245737,0.5822386537804481,0.17150566977420112,0.1535681910756361,0.18891692461181647
1-5,14038,407,0.0004162667236943752,0.00038652265796168956,0.0004456799196190113,7.555221009811254e-05,7.015972450630383e-05,8.080988342742322e-05,0.4455553045474775,0.3964482838366704,0.48411212879958504,0.6159070361663902,0.5734880381734418,0.6479097372494486,0.1947855857307202,0.1757183773222098,0.21215546457895032
6-11,7283,283,0.00045558860079024984,0.00042238550664943324,0.00048661908770991023,7.596946726705298e-05,7.174056266952888e-05,8.010704287611268e-05,0.3612283949681876,0.32925719665788183,0.39584678876098234,0.5332760832095312,0.4985707660820222,0.5715576290464098,0.1566936731968675,0.14110223435321087,0.1742044522726088
12-17,3120,128,0.0004765048776638044,0.000435581016061578,0.000517074855459802,7.637317425304555e-05,7.058350941932931e-05,8.31927537786574e-05,0.26763818520092486,0.21703518428792382,0.32767222749370545,0.442197861497221,0.37982696229795065,0.5095956537194342,0.12256410490625944,0.0994282734803318,0.1494399950374557
