horizon,horizon_days,recall@5,recall@5_ci_lo,recall@5_ci_hi,bce,n_patients,n_windows,recall@5_<1,n_patients_<1,recall@5_1-5,n_patients_1-5,recall@5_6-11,n_patients_6-11,recall@5_12-17,n_patients_12-17
30d,30.0,0.367991526491146,0.33935299826989423,0.3947713293927622,0.0005034441955190734,510,28147,0.32121914051050104,264,0.415666803579867,407,0.33670184939595194,283,0.2813324693386136,128
90d,90.0,0.384166223283434,0.354874182450595,0.4132643801648957,0.0004714027093870263,510,28147,0.3459819874910774,264,0.4330204260102505,407,0.34899005857873294,283,0.2916277202956677,128
180d,180.0,0.39160872393198604,0.3616107263395838,0.42003049364148504,0.00045893975488934055,510,28147,0.3435197964705622,264,0.44726818275786184,407,0.35294321814385,283,0.2880637813926233,128
1y,365.0,0.3911765830239912,0.3622338659186843,0.419727777423015,0.00045030851340270274,510,28147,0.3502085500959035,264,0.44625127680500853,407,0.3534680638790976,283,0.2800121726734904,128
3y,1095.0,0.3933315736512943,0.36399097776192274,0.4211745586152851,0.0004453544945780608,510,28147,0.3502085500959035,264,0.4477775408588765,407,0.3622654502989997,283,0.2719936519964264,128
full,,0.3914593890381076,0.3615996177988072,0.41941744769676803,0.0004437576694364826,510,28147,0.3502085500959035,264,0.4455553045474775,407,0.3612283949681876,283,0.26763818520092486,128
