metric,delta_point,ci_lo,ci_hi,n_windows,n_patients,age_band
recall@5,0.0040476326210163146,-0.0004504009971674988,0.008373467865769537,3706,264,<1
recall@5,-0.003577219774469851,-0.009065428712849374,0.001753761744042933,14038,407,1-5
recall@5,-0.002437426656040793,-0.006269109897242187,0.002963504642454359,7283,283,6-11
recall@5,-0.0028885656654388634,-0.006966284022932573,0.001186818034746166,3120,128,12-17
