metric,adkm_point,nint_point,delta_point,ci_lo,ci_hi,n_patients,n_windows,ci_excludes_zero
recall@5,0.3914593890381076,0.39369713316618,-0.0022377441280723538,-0.00543840804130785,0.0010353037145545828,510,28147,False
recall@10,0.4764271690886162,0.47541366951323655,0.0010134995753796692,-0.0020041330249158905,0.004244591432700672,510,28147,False
recall@20,0.566703228737367,0.5643222907478695,0.002380937989497406,-0.0011494209484196524,0.005543703879677831,510,28147,False
precision@5,0.17385867388607507,0.17429921815258725,-0.0004405442665121918,-0.00175671697872521,0.000960448734816919,510,28147,False
bce,0.0004437576694364826,0.0004440422258734096,-2.8455643692697326e-07,-1.3298377064558108e-06,8.062245447864914e-07,510,28147,False
brier,7.739234780078507e-05,7.745451968958844e-05,-6.217188880336463e-08,-1.9932548809800782e-07,7.12781346933322e-08,510,28147,False
