,0.0,1.0,1.1094,1.2308,1.3655,1.5148,1.6806,1.8645,2.0685,2.2948,2.5458,2.8244,3.1334,3.4762,3.8566,4.2785,4.7466,5.266,5.8421,6.4813,7.0,7.1904,7.9771,8.8499,9.8182,10.8924,12.0841,13.4063,14.8731,16.5003,18.3056,20.3085,22.5304,24.9955,27.7303,30.0,30.7643,34.1302,37.8644,42.0072,46.6032,51.7021,57.3588,63.6345,70.5968,78.3208,86.8899,90.0,96.3966,106.9434,118.6442,131.6251,146.0263,162.0031,179.728,180.0,199.3921,221.2078,245.4102,272.2607,302.0489,335.0963,365.0,371.7594,412.4338,457.5584,507.6202,563.1592,624.7748,693.1318,730.0,768.9678,853.101,946.4393,1049.9898,1164.8698,1292.319,1433.7124,1590.5757,1764.6016,1825.0,1957.6677,2171.8573,2409.4816,2673.1044,2965.5704,3290.0352,3650.0
0.0,0.0,0.14891670197595164,0.1640654412145819,0.18063428991202718,0.19873242284340398,0.21847289460857433,0.23997192786424892,0.26334803882327545,0.28872099653095007,0.3162106184383957,0.34593541200647093,0.3780110802687753,0.4125489180882737,0.44965413473777394,0.4894241467678528,0.5319468921570949,0.5772992217080617,0.6255454258628002,0.6767359540284665,0.7309063788413163,0.7730106762472292,0.7880766495889926,0.8482506676405959,0.9114162029215382,0.9775451552083003,1.0465941484659997,1.1185054318020136,1.1932080479501406,1.2706192203944895,1.3506459038416376,1.4331864399548426,1.5181322609369399,1.6053695872640834,1.694781072000548,1.786247351924688,1.8568477422775027,1.8796484744083892,1.974865177915508,2.0717800125307226,2.170278294654454,2.270248896609631,2.3715848772521295,2.4741839637295904,2.5779488973572544,2.682787658302585,2.788613584558518,2.8953454007186115,2.931687762546108,3.00290717152462,3.1112281942022313,3.2202428423773424,3.329890372992113,3.4401147062114643,3.5508641868978366,3.662091334885579,3.663714663238474,3.7737525900398072,3.885808056957616,3.9982212531710317,4.110958863842013,4.223990505195554,4.337288498309219,4.430745600391369,4.450827654355769,4.5645850719685255,4.678539947054909,4.792673395111071,4.906968285878725,5.02140909002492,5.13598173740739,5.193213955479898,5.250673486405103,5.365472803738751,5.480369254173766,5.595353399484025,5.710416706053927,5.825551460506531,5.94075069276325,6.056008105964037,6.171318012704256,6.208704923452612,6.286675277074141,6.402075262017688,6.517513781559347,6.63298705747805,6.748491680038761,6.864024572421154,6.979582958513331
0.25,0.0,0.14857411383797584,0.1636880028663907,0.1802187343416014,0.19827523187829427,0.21797028999022722,0.23941986395978004,0.26274219734906246,0.2880567836704475,0.3154831647307755,0.3451395753603013,0.3771414524137049,0.41159983471618417,0.4486196895028949,0.488298209214195,0.5307231295242404,0.5759711244376039,0.6241063364938977,0.6751790990396331,0.7292249028749582,0.7712323378560546,0.7862636513934746,0.8462992369890452,0.909319457722801,0.9752962780167805,1.0441864216242032,1.1159322705104162,1.1904630306489181,1.2676961159541191,1.347538695186584,1.4298893438781677,1.5146397439957617,1.6016763777693377,1.690882168223945,1.7821380267372493,1.852575998395919,1.8753242766363984,1.9703219307506294,2.067013809362303,2.165285492705516,2.2650261087563472,2.3661289623925557,2.4684920160440944,2.5720182347732483,2.6766158104423585,2.782198280413371,2.8886845562567918,2.9249433111959884,2.9959988774061204,3.104070703741278,3.212834559863954,3.322229842457861,3.4322006007015635,3.542695298291972,3.653666564293236,3.6552861581218608,3.7650709387821006,3.876868618136446,3.989023203817506,4.101501457629202,4.214273065695477,4.327310412770234,4.420552513484787,4.440588367974023,4.554084082625568,4.667776800492842,4.781647680516461,4.895679631846909,5.0098571608770115,5.124166229833363,5.181266783164699,5.238594126407479,5.35312934385277,5.467761470941295,5.582481091159903,5.697279690524877,5.812149573404174,5.9270837857541165,6.042076045200808,6.157120677423689,6.1944215782620216,6.272212558328334,6.387347061526452,6.502520010672476,6.617727636237269,6.732966536330012,6.848233641208712,6.9635261811480165
0.5,0.0,0.14823152570000006,0.16331056451819953,0.17980317877117563,0.19781804091318456,0.21746768537188013,0.23886780005531114,0.2621363558748495,0.28739257080994496,0.3147557110231552,0.34434373871413165,0.37627182455863456,0.4106507513440946,0.44758524426801577,0.48717227166053717,0.5294993668913858,0.5746430271671461,0.6226672471249952,0.6736222440507996,0.7275434269086001,0.7694539994648799,0.7844506531979566,0.8443478063374944,0.9072227125240638,0.9730474008252608,1.0417786947824066,1.1133591092188189,1.1877180133476957,1.2647730115137488,1.34443148653153,1.4265922478014925,1.5111472270545838,1.5979831682745922,1.6869832644473421,1.7780287015498106,1.848304254514335,1.871000078864408,1.965778683585751,2.0622476061938833,2.160292690756578,2.259803320903063,2.3606730475329814,2.4628000683585984,2.5660875721892418,2.6704439625821315,2.7757829762682245,2.882023711794972,2.9181988598458686,2.989090583287621,3.0969132132803243,3.2054262773505653,3.314569311923609,3.4242864951916627,3.5345264096861078,3.6452417937008925,3.6468576530052474,3.7563892875243936,3.8679291793152757,3.97982515446398,4.092044051416391,4.2045556261954,4.317332327231249,4.4103594265782045,4.430349081592277,4.543583093282611,4.657013653930774,4.770621965921853,4.8843909778150945,4.998305231729104,5.112350722259335,5.1693196108495005,5.226514766409855,5.340785883966791,5.455153687708825,5.569608782835782,5.684142674995828,5.798747686301816,5.913416878744983,6.02814398443758,6.142923342143122,6.180138233071432,6.2577498395825275,6.372618861035216,6.487526239785604,6.602468214996487,6.717441392621263,6.832442709996271,6.947469403782702
0.75,0.0,0.14788893756202426,0.16293312617000835,0.17938762320074986,0.19736084994807485,0.21696508075353302,0.23831573615084223,0.26153051440063657,0.2867283579494424,0.31402825731553496,0.343547902067962,0.3754021967035642,0.4097016679720051,0.4465507990331367,0.48604633410687936,0.5282756042585313,0.5733149298966883,0.6212281577560926,0.6720653890619662,0.7258619509422419,0.7676756610737053,0.7826376550024385,0.8423963756859437,0.9051259673253266,0.9707985236337409,1.0393709679406098,1.1107859479272215,1.1849729960464732,1.2618499070733784,1.3413242778764765,1.4232951517248176,1.5076547101134057,1.5942899587798467,1.683084360670739,1.773919376362372,1.8440325106327513,1.866675881092417,1.9612354364208724,2.057481403025464,2.15529988880764,2.2545805330497792,2.3552171326734075,2.457108120673103,2.5601569096052357,2.6642721147219044,2.7693676721230776,2.8753628673331524,2.9114544084957488,2.982182289169122,3.089755722819371,3.1980179948371767,3.3069087813893567,3.416372389681762,3.526357521080243,3.6368170231085495,3.638429147888634,3.747707636266687,3.8589897404941054,3.970627105110454,4.0825866452035795,4.194838186695321,4.307354241692264,4.400166339671622,4.42010979521053,4.533082103939654,4.646250507368706,4.7595962513272445,4.873102323783279,4.986753302581195,5.100535214685308,5.157372438534302,5.214435406412231,5.32844242408081,5.442545904476355,5.55673647451166,5.671005659466779,5.785345799199458,5.89974997173585,6.014211923674352,6.128726006862555,6.165854887880841,6.2432871208367215,6.357890660543979,6.472532468898732,6.587208793755706,6.7019162489125135,6.81665177878383,6.931412626417388
1.0,0.0,0.14754634942404846,0.16255568782181717,0.17897206763032408,0.19690365898296514,0.2164624761351859,0.23776367224637335,0.2609246729264236,0.2860641450889398,0.31330080360791474,0.3427520654217924,0.37453256884849384,0.40875258459991554,0.4455163537982576,0.48492039655322156,0.5270518416256766,0.5719868326262305,0.6197890683871902,0.6705085340731327,0.7241804749758838,0.7658973226825306,0.7808246568069205,0.8404449450343929,0.9030292221265893,0.9685496464422211,1.0369632410988132,1.108212786635624,1.1822279787452508,1.2589268026330083,1.3382170692214226,1.4199980556481426,1.5041621931722278,1.5905967492851012,1.6791854568941362,1.7698100511749333,1.8397607667511675,1.8623516833204263,1.9566921892559936,2.0527151998570443,2.1503070868587018,2.2493577451964955,2.349761217813833,2.451416172987607,2.5542262470212296,2.6581002668616778,2.7629523679779306,2.8687020228713327,2.904709957145629,2.9752739950506224,3.0825982323584173,3.190609712323788,3.2992482508551046,3.4084582841718607,3.5181886324743785,3.628392252516206,3.630000642772021,3.73902598500898,3.8500503016729355,3.9614290557569283,4.073129238990768,4.185120747195244,4.297376156153279,4.3899732527650395,4.409870508828784,4.522581114596696,4.635487360806638,4.748570536732636,4.861813669751464,4.975201373433287,5.08871970711128,5.145425266219103,5.202356046414607,5.31609896419483,5.429938121243884,5.5438641661875385,5.6578686439377295,5.771943912097101,5.886083064726717,6.000279862911123,6.114528671581988,6.151571542690251,6.228824402090915,6.343162460052742,6.45753869801186,6.571949372514925,6.686391105203764,6.800860847571388,6.915355849052074
1.25,0.0,0.14720376128607268,0.162178249473626,0.1785565120598983,0.19644646801785542,0.2159598715168388,0.23721160834190444,0.26031883145221063,0.28539993222843724,0.3125733499002945,0.3419562287756227,0.37366294099342345,0.407803501227826,0.44448190856337855,0.48379445899956375,0.525828078992822,0.5706587353557727,0.6183499790182877,0.6689516790842993,0.7224989990095257,0.764118984291356,0.7790116586114025,0.8384935143828423,0.900932476927852,0.9663007692507013,1.0345555142570166,1.1056396253440266,1.1794829614440285,1.256003698192638,1.3351098605663687,1.4167009595714677,1.5006696762310496,1.5869035397903557,1.6752865531175334,1.7657007259874948,1.8354890228695837,1.8580274855484358,1.9521489420911151,2.047948996688625,2.1453142849097637,2.2441349573432117,2.3443053029542593,2.445724225302111,2.5482955844372235,2.6519284190014507,2.756537063832784,2.862041178409513,2.897965505795509,2.9683657009321234,3.0754407418974634,3.1832014298103997,3.2915877203208526,3.40054417866196,3.510019743868514,3.619967481923863,3.6215721376554075,3.7303443337512734,3.841110862851765,3.952231006403402,4.063671832777957,4.175403307695166,4.287398070614294,4.379780165858457,4.399631222447038,4.512080125253739,4.624724214244571,4.737544822138028,4.850525015719648,4.9636494442853785,5.076904199537252,5.133478093903904,5.190276686416983,5.30375550430885,5.417330338011414,5.530991857863417,5.64473162840868,5.758542024994743,5.872416157717582,5.986347802147894,6.100331336301422,6.13728819749966,6.214361683345108,6.328434259561505,6.442544927124988,6.5566899512741434,6.670865961495015,6.785069916358948,6.899299071686761
1.5,0.0,0.14686117314809688,0.16180081112543482,0.17814095648947254,0.19598927705274571,0.21545726689849168,0.23665954443743556,0.25971298997799763,0.2847357193679347,0.3118458961926743,0.34116039212945304,0.3727933131383531,0.4068544178557364,0.4434474633284995,0.482668521445906,0.5246043163599675,0.5693306380853149,0.6169108896493852,0.6673948240954658,0.7208175230431676,0.7623406459001814,0.7771986604158845,0.8365420837312915,0.8988357317291149,0.9640518920591814,1.0321477874152198,1.1030664640524293,1.176737944142806,1.2530805937522675,1.332002651911315,1.4134038634947927,1.4971771592898717,1.5832103302956102,1.6713876493409303,1.7615914008000562,1.8312172789880001,1.853703287776445,1.9476056949262366,2.0431827935202054,2.1403214829608257,2.2389121694899274,2.338849388094685,2.4400322776166155,2.5423649218532174,2.6457565711412236,2.7501217596876373,2.8553803339476933,2.8912210544453893,2.961457406813624,3.06828325143651,3.175793147297011,3.2839271897866005,3.392630073152059,3.5018508552626497,3.6115427113315195,3.6131436325387942,3.7216626824935664,3.832171424030595,3.9430329570498763,4.054214426565146,4.165685868195089,4.2774199850753085,4.3695870789518745,4.389391936065292,4.501579135910782,4.613961067682503,4.726519107543418,4.839236361687833,4.952097515137471,5.065088691963224,5.121530921588706,5.178197326419359,5.29141204442287,5.404722554778944,5.518119549539295,5.63159461287963,5.7451401378923865,5.858749250708449,5.972415741384666,6.086134001020855,6.12300485230907,6.199898964599301,6.313706059070269,6.427551156238116,6.541430530033361,6.655340817786266,6.7692789851465065,6.883242294321446
1.75,0.0,0.14651858501012108,0.16142337277724364,0.1777254009190468,0.195532086087636,0.21495466228014457,0.23610748053296665,0.2591071485037847,0.2840715065074321,0.311118442485054,0.3403645554832834,0.37192368528328273,0.40590533448364685,0.4424130180936204,0.4815425838922482,0.5233805537271129,0.568002540814857,0.6154718002804828,0.6658379691066324,0.7191360470768094,0.7605623075090067,0.7753856622203664,0.8345906530797408,0.8967389865303776,0.9618030148676616,1.0297400605734233,1.100493302760832,1.1739929268415836,1.2501574893118974,1.3288954432562612,1.4101067674181176,1.4936846423486936,1.5795171208008647,1.6674887455643275,1.7574820756126175,1.8269455351064163,1.8493790900044542,1.943062447761358,2.038416590351786,2.1353286810118877,2.2336893816366437,2.333393473235111,2.4343403299311195,2.536434259269211,2.639584723280997,2.7437064555424904,2.8487194894858736,2.8844766030952695,2.9545491126951244,3.0611257609755564,3.1683848647836226,3.2762666592523484,3.3847159676421583,3.4936819666567853,3.603117940739176,3.604715127422181,3.7129810312358598,3.823231985209425,3.9338349076963506,4.044757020352335,4.155968428695012,4.2674418995363235,4.359393992045292,4.379152649683546,4.4910781465678244,4.603197921120436,4.71549339294881,4.827947707656017,4.940545585989562,5.053273184389196,5.109583749273508,5.166117966421735,5.27906858453689,5.392114771546473,5.505247241215174,5.618457597350582,5.731738250790029,5.845082343699316,5.958483680621438,6.071936665740288,6.10872150711848,6.185436245853495,6.298977858579033,6.412557385351244,6.52617110879258,6.639815674077517,6.753488053934065,6.867185516956132
2.0,0.0,0.14617599687214528,0.16104593442905246,0.17730984534862101,0.19507489512252632,0.21445205766179745,0.23555541662849777,0.25850130702957175,0.28340729364692957,0.31039098877743376,0.33956871883711376,0.3710540574282124,0.4049562511115573,0.4413785728587413,0.4804166463385904,0.5221567910942584,0.5666744435443992,0.6140327109115802,0.6642811141177989,0.7174545711104513,0.7587839691178321,0.7735726640248484,0.83263922242819,0.8946422413316404,0.9595541376761418,1.0273323337316267,1.0979201414692343,1.1712479095403612,1.247234384871527,1.3257882346012075,1.4068096713414426,1.4901921254075157,1.5758239113061192,1.6635898417877246,1.7533727504251788,1.8226737912248325,1.8450548922324637,1.9385192005964793,2.033650387183366,2.1303358790629496,2.22846659378336,2.327937558375537,2.4286483822456235,2.5305035966852047,2.63341287542077,2.7372911513973435,2.842058645024054,2.8777321517451497,2.9476408185766254,3.053968270514603,3.160976582270234,3.2686061287180963,3.3768018621322575,3.485513078050921,3.594693170146833,3.5962866223055676,3.7042993799781527,3.8142925463882547,3.9246368583428244,4.0352996141395225,4.146250989194934,4.257463813997338,4.3492009051387095,4.368913363301799,4.480577157224867,4.592434774558368,4.704467678354201,4.816659053624202,4.928993656841653,5.041457676815169,5.097636576958309,5.154038606424111,5.266725124650909,5.379506988314003,5.492374932891052,5.605320581821532,5.718336363687672,5.8314154366901825,5.944551619858209,6.057739330459721,6.094438161927889,6.170973527107688,6.284249658087796,6.397563614464373,6.510911687551799,6.624290530368768,6.737697122721624,6.851128739590818
