age_band,point,ci_lo,ci_hi,n_patients,n_windows
<1,8.801687922718421e-05,7.891659869890168e-05,9.717162841770745e-05,264,3706
1-5,7.555221009811254e-05,7.015972450630383e-05,8.080988342742322e-05,407,14038
6-11,7.596946726705298e-05,7.174056266952888e-05,8.010704287611268e-05,283,7283
12-17,7.637317425304555e-05,7.058350941932931e-05,8.31927537786574e-05,128,3120
