metric,delta_point,ci_lo,ci_hi,n_windows,n_patients,horizon,delta_<1,delta_1-5,delta_6-11,delta_12-17
recall@5,9.273862484714891e-05,-0.0021802695827343875,0.00235274562916644,28147,510,30d,-0.00019855980263852436,-0.00329230857040483,0.004620091663581931,0.0049627181803253
recall@5,0.0021075292662406982,0.000158580539127106,0.00406045805199526,28147,510,90d,0.004722331430404722,-0.0009772400632478806,0.004625938163903296,0.007033094227934675
recall@5,0.0008651365256695704,-0.0012961062709332231,0.003093394286602703,28147,510,180d,0.0035639645581415328,-0.00027896253006028766,-0.0011418594770190018,0.007562022531339023
recall@5,-0.0013030090566866386,-0.0031924960385425836,0.0010302591475997015,28147,510,1y,0.0040476326210163146,-0.0029074816259590194,-0.0027407425984082917,0.0031404650772855367
recall@5,0.0009118637128969248,-0.0018183413765925308,0.0033278735995857294,28147,510,3y,0.0040476326210163146,-0.0002374808983596075,0.0030315249004820217,-0.002417379608962732
recall@5,-0.0022377441280723538,-0.005449952079301278,0.0010927145046536774,28147,510,full,0.0040476326210163146,-0.003577219774469851,-0.002437426656040793,-0.0028885656654388634
