history_bin,n_windows,n_patients,mean_span_days,mean_n_events,mean_age_years,frac_<1,frac_1-5,frac_6-11,frac_12-17,recall@5,recall@5_ci_lo,recall@5_ci_hi,bce
<30d,1103,499,7.061282369643382,10.352674524025385,2.3866067163485187,0.6119673617407072,0.24206708975521304,0.10788757932910245,0.038077969174977334,0.27396757083656975,0.24889104492757708,0.29817275345190614,0.000488420127710286
30-90d,876,265,57.96745384991441,37.5958904109589,1.782174685570203,0.7385844748858448,0.14840182648401826,0.0821917808219178,0.030821917808219176,0.36715632719941527,0.3313213191202335,0.3973084317240864,0.0005121444892148708
90-180d,1246,262,133.9055247972712,80.46308186195827,1.6539710555135916,0.6966292134831461,0.23595505617977527,0.06019261637239166,0.0072231139646869984,0.3818757648090437,0.3467960517744035,0.4182735223833708,0.0004392823808655924
180d-1y,2869,317,273.21305381798834,297.78110840013943,1.8847369654912407,0.5284071104914604,0.4130359010108052,0.050888811432554894,0.007668177065179505,0.42576485056607627,0.38219355041669123,0.45439689453908866,0.000449429573215584
1-3y,9336,373,661.9587945530147,482.5465938303342,3.7352509465525063,0.0,0.8367609254498715,0.12714224507283634,0.0360968294772922,0.4296550552033193,0.3906970662713016,0.4635046458917615,0.0004392428360444103
>3y,12717,330,2268.5338913888136,403.1994967366517,8.48385044491084,0.0,0.3420618070299599,0.44696076118581424,0.21097743178422584,0.36791986324216686,0.34128050542521854,0.39654377782553607,0.0004376465155923057
