age,lag_days,tau,K,exp_K
0.5,0.0,0.0,0.0,1.0
0.5,1.0,0.13353139262452263,0.14823152570000006,1.1597813844777134
0.5,1.04207978005936,0.13877757979574964,0.15405525233996273,1.1665553399100559
0.5,1.085930268008564,0.1442153983329276,0.16009170655797708,1.173618494569356
0.5,1.1316259748461663,0.14985075141373838,0.16634744139761637,1.180983352956731
0.5,1.179244546977152,0.15568964362420476,0.1728291224745823,1.188662971941881
0.5,1.22886689815015,0.16173817670785368,0.17954352325790454,1.1966709859540343
0.5,1.2805773469465365,0.16800254480307233,0.18649751978298934,1.2050216333668367
0.5,1.3344637600550455,0.17448902915159026,0.1936980847775718,1.2137297841354855
0.5,1.3906177015753483,0.18120399226263023,0.2011522811834129,1.2228109687472344
0.5,1.4491345886042917,0.1881538715191507,0.2088672550586694,1.2322814085493432
0.5,1.5101138533691716,0.1953451722147602,0.21685022784825975,1.242158047521633
0.5,1.5736591121835388,0.2027844600123307,0.2251084880122652,1.2524585855640245
0.5,1.63987834151263,0.21047835281806931,0.2336493820054388,1.263201513372795
0.5,1.7088840614475895,0.21843351206783565,0.24248030460425526,1.2744061489827958
0.5,1.78079352690025,0.22665663342580755,0.25160868858161656,1.2860926760565252
0.5,1.8557289268433443,0.23515443689919577,0.2610419937333204,1.2982821840047725
0.5,1.9338175919347047,0.24393365637657694,0.27078769526469476,1.3109967100275142
0.5,2.0151922108782383,0.2530010286015404,0.28085327155038164,1.3242592831679014
0.5,2.0999910558893298,0.2623632815977036,0.2912461912850914,1.33809397047649
0.5,2.1883582176477763,0.27202712256572037,0.3019739000482232,1.3525259253873734
0.5,2.2804438501374875,0.2819992252776497,0.3130438063105123,1.3675814384125768
0.5,2.376404425788993,0.2922862169989427,0.32446326691629124,1.3832879902659616
0.5,2.4764030013582836,0.30289466497328327,0.3362395720804807,1.3996743075329883
0.5,2.5806094949937797,0.31383106251055365,0.34837992994501477,1.4167704210080119
0.5,2.6892009749622137,0.3251018147232243,0.3608914507449859,1.4346077268263167
0.5,2.80236196052404,0.33671322396143527,0.3737811306403111,1.4532190505238822
0.5,2.920284735469609,0.34867147500187956,0.38705583527409726,1.4726387141638968
0.5,3.0431696748488766,0.36098262005026066,0.40072228312405694,1.4929026066753188
0.5,3.1712255854498315,0.3736525636214963,0.41478702871821216,1.5140482575553436
0.5,3.304670060604175,0.38668704736592124,0.4292564457906522,1.5361149140944732
0.5,3.443729849923151,0.4000916349134312,0.4441367104572076,1.5591436222900332
0.5,3.58864124459177,0.4138716968107314,0.45943378449447875,1.5831773116214247
0.5,3.7396504788761398,0.428032395629561,0.4751533988086623,1.608260883868204
0.5,3.8970141485261283,0.44257867132586715,0.4913010371829535,1.634441306160203
0.5,4.060999646784322,0.45751522693137253,0.5078819203939352,1.6617677084574223
0.5,4.231885618742145,0.4728465146597427,0.5249009907882077,1.6902914856663078
0.5,4.409962434815182,0.48857672250958634,0.5423628974105478,1.7200664046083394
0.5,4.5955326841422455,0.5047097614457685,0.5602719817740446,1.751148716066572
0.5,4.788911688746551,0.5212492532389659,0.5786322643609426,1.7835972721459785
0.5,4.990428039332705,0.5381985190410279,0.5974474319402935,1.817473649194093
0.5,5.200424153629888,0.5555605687705246,0.6167208257849851,1.852842276539631
0.5,5.419256858230018,0.5733380913788805,0.6364554308662991,1.8897705713184707
0.5,5.647297994909514,0.5915334460627218,0.6566538660988478,1.9283290796686323
0.5,5.8849350524649715,0.6101486544825645,0.6773183757026368,1.968591624588767
0.5,6.132571825136316,0.6291853940417533,0.6984508217421,2.010635460768121
0.5,6.39062909873628,0.6486449922727383,0.7200526778943752,2.0545414367100947
0.5,6.65954536565205,0.6685284223703669,0.7421250244908678,2.1003941644863215
0.5,6.9397775699340185,0.6888362999039961,0.7646685448674071,2.1482821974737387
0.5,7.0,0.6931471805599453,0.7694539994648799,2.1585873421271
0.5,7.23180188373772,0.709568880731968,0.7876835230491329,2.1982982164434297
0.5,7.5361145164382695,0.7307260601334374,0.8111698427867471,2.250539224387106
0.5,7.8532325577921425,0.7523073731638018,0.8351269879510723,2.3051067504850398
0.5,8.183694856579041,0.7743119962311774,0.8595540442830789,2.3621070636380717
0.5,8.528062936216804,0.7967387498825744,0.8844497024867822,2.4216513960060375
0.5,8.886921948905186,0.8195861027797884,0.9098122626428304,2.483856177015668
0.5,9.260881669919817,0.8428521768366255,0.9356396399112735,2.5488432783226886
0.5,9.6505775337458,0.8665347534810289,0.9619293714830719,2.616740270235631
0.5,10.056671713811626,0.8906312809980652,0.9886786247314526,2.687680690132688
0.5,10.479854247658004,0.9151388829026448,1.0158842065063627,2.7618043234279783
0.5,10.920844209453602,0.9400543672843792,1.0435425735080766,2.8392574976697813
0.5,11.380390931849947,0.9653742370611591,1.0716498436695663,2.920193390380777
0.5,11.859275279251726,0.9910947010729667,1.100201808471602,3.004772351279103
0.5,12.358310974666047,1.0172116859431128,1.1291939461097638,3.093162239549219
0.5,12.878345982385166,1.043720848630567,1.1586214354286253,3.1855387768631283
0.5,13.420263948852282,1.07061758959435,1.1884791705353814,3.2820859168856322
0.5,13.984985704158541,1.097897066489053,1.2187617760030722,3.3829962320319247
0.5,14.573470826722824,1.1255542083094778,1.2494636225723708,3.488471318282151
0.5,15.186719273812823,1.1535837299020806,1.280578843260555,3.598722218895538
0.5,15.825773080678108,1.1819801467613735,1.3121013497868081,3.7139698679065094
0.5,16.491718131182388,1.2107377900306098,1.3440248492242908,3.8344455543268428
0.5,17.1856860029435,1.2398508216279238,1.3763428607914798,3.960391408021549
0.5,17.908855890116588,1.2693132494215638,1.4090487326980032,4.092060908271783
0.5,18.662456607087464,1.2991189423808551,1.4421356589635361,4.229719416085871
0.5,19.44776867648105,1.3292616456330582,1.4755966961322287,4.373644731369594
0.5,20.26612650503269,1.3597349953601767,1.5094247798094664,4.524127676119101
0.5,21.11892065101963,1.3905325334740786,1.5436127409525393,4.681472704854733
0.5,22.007600187105616,1.4216477220128325,1.5781533218518329,4.845998543571258
0.5,22.933675162613348,1.4530739572059415,1.6130391917444686,5.018038858540051
0.5,23.898719169408917,1.4848045831610868,1.6482629620077875,5.197942956361571
0.5,24.904372015758064,1.5168329051299927,1.683817200885619,5.386076516732112
