age_bin,n_windows,n_patients,age_mean,recall@5,recall@5_ci_lo,recall@5_ci_hi
"(-0.001, 1.51]",5630,303,0.7440595712968183,0.36469481648388546,0.33682240190642165,0.38608844014276444
"(1.51, 3.326]",5630,288,2.3875054605900714,0.4423675282353633,0.4009609850675943,0.4747020235290658
"(3.326, 5.56]",5628,294,4.394343531335086,0.46776026793912917,0.4162708961564708,0.5062355648040165
"(5.56, 9.465]",5629,267,7.257580455401203,0.4002984964258904,0.36993495756208306,0.4330490429202729
"(9.465, 17.861]",5630,194,12.647993349817252,0.28185357527508403,0.24698430495126192,0.325555025484976
