task,arm,split,band,n,pos,prev,auroc,auprc
pneumonia,random_constant,test,toddler,453,23,0.0508,0.982,0.8079
pneumonia,random_constant,test,preschool,286,11,0.0385,0.9904,0.7819
pneumonia,random_constant,test,school,286,11,0.0385,0.8926,0.6256
pneumonia,random_constant,test,adolescent,108,3,0.0278,0.9905,0.8333
pneumonia,additive,val,neonate,315,5,0.0159,0.8871,0.1888
pneumonia,additive,val,infant,407,63,0.1548,0.9608,0.894
pneumonia,additive,val,toddler,223,16,0.0717,0.9466,0.7249
pneumonia,additive,val,preschool,152,10,0.0658,0.9718,0.749
pneumonia,additive,val,school,134,8,0.0597,0.9861,0.8651
pneumonia,additive,val,adolescent,48,3,0.0625,0.9481,0.6095
pneumonia,additive,test,neonate,606,4,0.0066,0.9186,0.0898
pneumonia,additive,test,infant,834,121,0.1451,0.9745,0.899
pneumonia,additive,test,toddler,453,23,0.0508,0.9694,0.7029
pneumonia,additive,test,preschool,286,11,0.0385,0.9226,0.6976
pneumonia,additive,test,school,286,11,0.0385,0.956,0.5398
pneumonia,additive,test,adolescent,108,3,0.0278,0.9587,0.5714
