epoch,step,train_bce,val_bce,lr_backbone,lr_age,lr_head,lambda0,beta,lambda0_grad_abs,beta_grad_abs,temporal_bias_abs_mean,content_abs_mean,ratio_temporal_abs_to_content_abs,micro_auroc,macro_auroc,micro_auprc,macro_auprc,recall@5,recall@10,recall@20,precision@5,precision@10,precision@20,lambda_a_20,lambda_a_30,lambda_a_40,lambda_a_50,lambda_a_60,lambda_a_70,lambda_a_80
1,22931,0.010680370953875137,0.00967161328997463,0.0001,0.001,0.001,-1.1332502365112305,0.0,0.0001331744813959525,0.0,2.004314661026001,3.1836113929748535,0.6295726499308966,0.9867067913689654,0.8311294533566371,0.4305500434321664,0.15733604253572006,0.06707914918661118,0.12277088314294815,0.2229820042848587,0.7569999694824219,0.749250054359436,0.7313125133514404,-1.1332502365112305,-1.1332502365112305,-1.1332502365112305,-1.1332502365112305,-1.1332502365112305,-1.1332502365112305,-1.1332502365112305
2,45862,0.01011711265755733,0.009294605110771953,0.0001,0.001,0.001,-1.2012618780136108,0.0,0.00013127684490532322,0.0,2.124602794647217,3.886582136154175,0.5466506869578197,0.9884242838461389,0.8558376868623726,0.4573378350225229,0.17822027268825405,0.08075632154941559,0.1373966932296753,0.2361755520105362,0.7682499885559082,0.7556250095367432,0.7330000400543213,-1.2012618780136108,-1.2012618780136108,-1.2012618780136108,-1.2012618780136108,-1.2012618780136108,-1.2012618780136108,-1.2012618780136108
3,68793,0.009953952709906264,0.009302012589760125,0.0001,0.001,0.001,-1.3230596780776978,0.0,0.00012315471237105244,0.0,2.340019464492798,3.730325698852539,0.6272962881530608,0.9883561637634876,0.8567537472665325,0.45930668722892526,0.18194105832020238,0.07991078495979309,0.13566774129867554,0.2366936355829239,0.7714999318122864,0.7587500214576721,0.7350000143051147,-1.3230596780776978,-1.3230596780776978,-1.3230596780776978,-1.3230596780776978,-1.3230596780776978,-1.3230596780776978,-1.3230596780776978
4,91724,0.00985352582770399,0.009326873715035617,0.0001,0.001,0.001,-1.4058926105499268,0.0,0.00012003490733919401,0.0,2.4865214824676514,3.8900556564331055,0.6391994619292849,0.9884237079591252,0.8560390288818547,0.4561653789499351,0.17744248934384088,0.06653819233179092,0.12331335246562958,0.22374314069747925,0.765500009059906,0.7561250329017639,0.7358124256134033,-1.4058926105499268,-1.4058926105499268,-1.4058926105499268,-1.4058926105499268,-1.4058926105499268,-1.4058926105499268,-1.4058926105499268
5,114655,0.009776079615984277,0.009169819029048086,0.0001,0.001,0.001,-1.4483740329742432,0.0,0.00011922989384554782,0.0,2.5616557598114014,3.747037887573242,0.6836482140482882,0.9885313042347716,0.857220239525,0.47079599164597524,0.19523728204799293,0.08103200048208237,0.1393248736858368,0.24162349104881287,0.7737500071525574,0.7608749866485596,0.7401874661445618,-1.4483740329742432,-1.4483740329742432,-1.4483740329742432,-1.4483740329742432,-1.4483740329742432,-1.4483740329742432,-1.4483740329742432
6,137586,0.009710447011573739,0.00918251253431663,0.0001,0.001,0.001,-1.5216166973114014,0.0,0.00012027559059723427,0.0,2.6911959648132324,3.516671657562256,0.7652679086559916,0.9885429194219624,0.8618942934859952,0.4648557629933675,0.18931177248781053,0.09449388831853867,0.1475115269422531,0.25001072883605957,0.7832499742507935,0.7609999775886536,0.7388749718666077,-1.5216166973114014,-1.5216166973114014,-1.5216166973114014,-1.5216166973114014,-1.5216166973114014,-1.5216166973114014,-1.5216166973114014
7,160517,0.009655322956770452,0.009174737916328012,0.0001,0.001,0.001,-1.6143211126327515,0.0,0.00012216204099345466,0.0,2.855156898498535,3.9643070697784424,0.7202158783974785,0.9883991546864219,0.8630227879868291,0.46722868189367844,0.1919595621097959,0.08630108088254929,0.14202643930912018,0.24136807024478912,0.7774999737739563,0.7613749504089355,0.7379374504089355,-1.6143211126327515,-1.6143211126327515,-1.6143211126327515,-1.6143211126327515,-1.6143211126327515,-1.6143211126327515,-1.6143211126327515
8,183448,0.009606327007259743,0.009485694696195424,0.0001,0.001,0.001,-1.6091551780700684,0.0,0.00012706081370471618,0.0,2.846020221710205,3.7961323261260986,0.74971575730443,0.9866807890180508,0.8393589568981383,0.45378856170409065,0.18502553897870994,0.08259172737598419,0.13827389478683472,0.2406189739704132,0.7755000591278076,0.7598750591278076,0.739187479019165,-1.6091551780700684,-1.6091551780700684,-1.6091551780700684,-1.6091551780700684,-1.6091551780700684,-1.6091551780700684,-1.6091551780700684
