task,band,band_lo_yr,band_hi_yr,N_vanilla,n_pos_vanilla,n_neg_vanilla,prevalence_vanilla,auroc_vanilla,auprc_vanilla,ece_vanilla,unreliable_vanilla,auroc_ci_lo_vanilla,auroc_ci_hi_vanilla,N_age,n_pos_age,n_neg_age,prevalence_age,auroc_age,auprc_age,ece_age,unreliable_age,auroc_ci_lo_age,auroc_ci_hi_age,delta_auroc_age_minus_vanilla,delta_auroc_ci_lo,delta_auroc_ci_hi
heart_malformations,neonate,0.0,0.08333333333333333,624,79,545,0.1266025641025641,0.6287887585646266,0.19023532934099902,0.21366966169518542,False,0.5636894626943244,0.6893849859040703,624,79,545,0.1266025641025641,0.604041342468935,0.18603268143609988,0.26321707921436965,False,0.5346299376608173,0.6727276015872977,-0.023255317954194412,-0.08706914219414208,0.038414267119733815
heart_malformations,infant,0.08333333333333333,1.0,816,191,625,0.2340686274509804,0.7642973821989528,0.45736012571704615,0.22092041364122256,False,0.7250053419639698,0.8053501745622678,816,191,625,0.2340686274509804,0.7655455497382199,0.5120698616907431,0.2822850451384689,False,0.7254524935749733,0.8070615706806282,0.0014831464397985954,-0.02743607515850504,0.026078818226756516
heart_malformations,toddler,1.0,3.0,453,114,339,0.25165562913907286,0.871655540030016,0.5725612431194073,0.2605702542673146,False,0.8392076175416476,0.9015892271419156,453,114,339,0.25165562913907286,0.8656264555193294,0.6243278237453149,0.3183418440634578,False,0.8265908336663864,0.9041155457009116,-0.0055746563220061985,-0.0400129489714004,0.027522501082441506
heart_malformations,preschool,3.0,6.0,286,62,224,0.21678321678321677,0.8762960829493087,0.50844609645912,0.26608988314450205,False,0.8372604760825915,0.9132885648555723,286,62,224,0.21678321678321677,0.933395737327189,0.7767848803148769,0.2912299698153576,False,0.9009176197978543,0.9610988963891568,0.05650858182537169,0.018850286162937203,0.09424893255042088
heart_malformations,school,6.0,12.0,286,39,247,0.13636363636363635,0.8208242499740475,0.3224658493454356,0.18307804968859348,False,0.757455258719652,0.8771329365079364,286,39,247,0.13636363636363635,0.8782310806602305,0.5406126772838531,0.2460666525770317,False,0.8251078112342843,0.9267878609145039,0.0570505361686325,0.00971800755105975,0.11101740311343605
heart_malformations,adolescent,12.0,18.0,108,8,100,0.07407407407407407,0.6412500000000001,0.15321230516453627,0.14658897394245424,False,0.3594589460784314,0.8580475442604224,108,8,100,0.07407407407407407,0.755,0.17509320315047866,0.24529496249225408,False,0.5509416201854396,0.8888888888888888,0.11315706324014524,-0.010002525252525263,0.2438971170992668
