task,band,band_lo_yr,band_hi_yr,N_vanilla,n_pos_vanilla,n_neg_vanilla,prevalence_vanilla,auroc_vanilla,auprc_vanilla,ece_vanilla,unreliable_vanilla,auroc_ci_lo_vanilla,auroc_ci_hi_vanilla,N_age,n_pos_age,n_neg_age,prevalence_age,auroc_age,auprc_age,ece_age,unreliable_age,auroc_ci_lo_age,auroc_ci_hi_age,delta_auroc_age_minus_vanilla,delta_auroc_ci_lo,delta_auroc_ci_hi
mortality,neonate,0.0,0.08333333333333333,614,40,574,0.06514657980456026,0.75,0.1779687364367425,0.43403232609701464,False,0.6634843340228793,0.8244110937763145,614,40,574,0.06514657980456026,0.6242595818815331,0.13230710635855708,0.4259988763020753,False,0.5388075116853338,0.7075958391480596,-0.12685367183495935,-0.21210335908133648,-0.03834987955385816
mortality,infant,0.08333333333333333,1.0,804,50,754,0.06218905472636816,0.7905305039787799,0.17584523797988919,0.40378136443558027,False,0.7270718587840891,0.8474686887084887,804,50,754,0.06218905472636816,0.7572944297082228,0.13843105107240017,0.37550086879278,False,0.6919398402626976,0.8178316271320891,-0.032792326580828465,-0.0655302186923858,0.00022172607920843012
mortality,toddler,1.0,3.0,447,18,429,0.040268456375838924,0.825045325045325,0.14744038222060182,0.3787399954777169,False,0.7381701489378739,0.9026353930205091,447,18,429,0.040268456375838924,0.8083398083398083,0.12037490223640981,0.33887492156935484,False,0.7202360683046264,0.8781125522819373,-0.019263991390174606,-0.09822527351370727,0.06163131068089645
mortality,preschool,3.0,6.0,284,8,276,0.028169014084507043,0.8990036231884058,0.27511781576948036,0.36210059180436,False,0.7751382800412584,0.9827900011687705,284,8,276,0.028169014084507043,0.8759057971014493,0.19875635619915039,0.34014989810825236,False,0.744216526679842,0.9732142857142857,-0.02375572690827227,-0.07081211437907257,0.009492477192623095
mortality,school,6.0,12.0,282,17,265,0.06028368794326241,0.6739178690344062,0.1981262035135652,0.3366007428906911,False,0.5345647967828654,0.7978052881600401,282,17,265,0.06028368794326241,0.7229744728079912,0.16190856343615298,0.3477445785880934,False,0.5831669055484723,0.8358736059479555,0.04666401182869521,-0.08139951761318964,0.16951539744608543
mortality,adolescent,12.0,18.0,107,4,103,0.037383177570093455,0.6359223300970874,0.12590030742204655,0.3310999102263807,False,0.41346153846153844,0.9712843406593407,107,4,103,0.037383177570093455,0.808252427184466,0.1500794213805441,0.38433400659917666,False,0.6114577717879605,0.9619047619047619,0.16596855740868685,-0.011833791208791269,0.44483058608058623
