task,band,band_lo_yr,band_hi_yr,N_vanilla,n_pos_vanilla,n_neg_vanilla,prevalence_vanilla,auroc_vanilla,auprc_vanilla,ece_vanilla,unreliable_vanilla,auroc_ci_lo_vanilla,auroc_ci_hi_vanilla,N_age,n_pos_age,n_neg_age,prevalence_age,auroc_age,auprc_age,ece_age,unreliable_age,auroc_ci_lo_age,auroc_ci_hi_age,delta_auroc_age_minus_vanilla,delta_auroc_ci_lo,delta_auroc_ci_hi
pneumonia,neonate,0.0,0.08333333333333333,624,5,619,0.008012820512820512,0.4707592891760905,0.01216418460655751,0.5219933972335778,False,0.11282124691879154,0.8695078311378488,624,5,619,0.008012820512820512,0.4959612277867529,0.010616034930501134,0.5444016403829057,False,0.17095439753328054,0.7962416372782907,0.01816572801125861,-0.42300007779276017,0.4944556451612903
pneumonia,infant,0.08333333333333333,1.0,816,120,696,0.14705882352941177,0.7804837164750957,0.41366895607608056,0.36194591569330764,False,0.7384843078056228,0.8201126812530707,816,120,696,0.14705882352941177,0.7955818965517241,0.4320605497596218,0.3459171116826873,False,0.7581086364834922,0.8332395404199202,0.015279831348529047,-0.02019341850601907,0.049815765501450955
pneumonia,toddler,1.0,3.0,453,23,430,0.05077262693156733,0.7799797775530839,0.13575068408213464,0.4408404049165465,False,0.6796701087074919,0.8683511639585668,453,23,430,0.05077262693156733,0.7232558139534884,0.1566770159546468,0.4184597353008936,False,0.6178500830325206,0.8076020976922522,-0.05915134792999963,-0.12401449721820325,0.0070652308915218525
pneumonia,preschool,3.0,6.0,286,11,275,0.038461538461538464,0.7814876033057852,0.19511201887471272,0.3900212125032098,False,0.6513300976979239,0.8853279324082243,286,11,275,0.038461538461538464,0.7586776859504132,0.23462275897192103,0.38044497605178734,False,0.6260830324909747,0.8750755342459564,-0.02450549801248604,-0.16819413376762685,0.1299918111726659
pneumonia,school,6.0,12.0,286,11,275,0.038461538461538464,0.6634710743801653,0.08943673486082826,0.29768304162092146,False,0.4807946436228208,0.8115830910698946,286,11,275,0.038461538461538464,0.7071074380165289,0.0737831239105024,0.325369388594494,False,0.5480393804026986,0.8358735683653726,0.044930663049492656,-0.044577559050735675,0.14169964028776968
pneumonia,adolescent,12.0,18.0,108,3,105,0.027777777777777776,0.7936507936507936,0.1488095238095238,0.17146872187516204,False,0.456921177922765,0.9719626168224299,108,3,105,0.027777777777777776,0.8920634920634921,0.18703703703703703,0.26961108548911633,False,0.7419492656875835,0.9813084112149533,0.09670657993159798,-0.02394728960766694,0.30841121495327095
