band,delta_auroc,kernel_dev_attention,kernel_dev_aggregation,kernel_dev_mean,unreliable
neonate,0.0181657280112586,1.633785605430603,1.5079169273376465,1.5708512663841248,False
infant,0.015279831348529,1.7401857376098633,0.5448055863380432,1.1424956619739532,False
toddler,-0.0591513479299996,1.899997353553772,2.2147858142852783,2.057391583919525,False
preschool,-0.024505498012486,2.224335193634033,1.41201651096344,1.8181758522987366,False
school,0.0449306630494926,2.808189630508423,1.932694435119629,2.370442032814026,False
adolescent,0.0967065799315979,3.179821252822876,2.6798853874206543,2.929853320121765,False
