band,delta_auroc,kernel_dev_attention,kernel_dev_aggregation,kernel_dev_mean,unreliable
neonate,0.0381248383683295,1.7699525356292725,1.5079169273376465,1.6389347314834595,False
infant,0.0359442502818696,1.5358712673187256,0.5448055863380432,1.0403384268283844,False
toddler,0.0232674834871546,1.9095582962036133,2.2147858142852783,2.062172055244446,False
preschool,-0.0261505375842653,2.203803062438965,1.41201651096344,1.8079097867012024,False
school,-0.0130941338409952,2.9072043895721436,1.932694435119629,2.4199494123458862,False
adolescent,0.0778978133483114,3.276650905609131,2.6798853874206543,2.9782681465148926,False
