task,model,n_seeds,BCE_mean,BCE_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,accuracy_mean,accuracy_std,pair_accuracy_mean,pair_accuracy_std,same_prediction_rate_mean,same_prediction_rate_std,beta_hat_mean,beta_hat_std,lambda0_hat_mean,lambda0_hat_std,delta_shuffle_mean_mean,delta_shuffle_mean_std,pair_accuracy_shuffled_age_mean,pair_accuracy_shuffled_age_std
T1,age_temporal,5,0.000555943567178474,0.0008506559338956545,1.0,0.0,1.0,0.0,0.9998847926267281,0.0002576115181451297,0.9997695852534563,0.0005152230362902594,0.0002304147465437788,0.0005152230362902742,1.2317205309867858,0.17893949947227802,-0.2106612205505371,0.036732874670238946,7.0117687251131695,1.494332802632533,0.2532258064516129,0.00774550060551686
T1,late_age,5,0.6931715965270996,2.882063629816905e-05,0.49856521692964384,0.002370781420304475,0.5034348084697889,0.015300093239987206,0.5058755760368664,0.006759541664380633,0.07949308755760368,0.10101853923709189,0.8527649769585255,0.18922683928056686,,,,,5.99363157826085e-07,1.4816340420595382e-05,0.035944700460829496,0.04474883362989666
T1,no_age,5,0.6931735277175903,2.3281394183336125e-05,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
T1,temporal_only,5,0.6931739687919617,2.449912596097454e-05,0.5,2.7755575615628914e-17,0.5,3.925231146709438e-17,0.5,0.0,0.0,0.0,1.0,0.0,,,0.006028398172929883,0.02230817824803105,0.0,0.0,0.0,0.0
T2,age_temporal,5,6.070949501690847e-06,1.0510968420440767e-05,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.557904052734375,0.47569910618193445,-0.18781321570277215,0.1218294043361131,7.522026430746264,0.814185312929571,0.2532258064516129,0.00774550060551686
T2,late_age,5,0.6931666016578675,1.8222866352476456e-05,0.5001835619783813,0.001262894354186539,0.5018769791964346,0.009567868744244087,0.5027649769585254,0.003368707722860248,0.04976958525345622,0.08008942818524716,0.9059907834101383,0.1546690630334748,,,,,7.24869389687813e-08,1.5176372666076458e-05,0.02096774193548387,0.03221071244772172
T2,no_age,5,0.6931587338447571,6.638282508129477e-06,0.5,0.0,0.5,3.925231146709438e-17,0.5,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
T2,temporal_only,5,0.6931583166122437,7.921298074234475e-06,0.5,0.0,0.5,2.7755575615628914e-17,0.5,0.0,0.0,0.0,1.0,0.0,,,-0.03551321476697922,0.041739468798952496,0.0,0.0,0.0,0.0
